gene,group
LYPD3,Breast glandular cells
LYZ,Macrophages
MAP3K8,
MDM2,Breast cancer
MKI67,Breast cancer
MLPH,Breast glandular cells
MMP1,Fibroblasts
MMP12,Fibroblasts
MMP2,Fibroblasts
MMRN2,Adipocytes
MNDA,Macrophages
MRC1,Macrophages
MS4A1,B cells
MUC6,
MYBPC1,Epithelial cells
MYH11,Smooth muscle cells
MYLK,Breast myoepithelial cells
MYO5B,Breast glandular cells
MZB1,B cells
NARS,
NCAM1,NK cells
NDUFA4L2,Adipocytes
NKG7,NK cells
NOSTRIN,
OCIAD2,Breast glandular cells
OPRPN,
OXTR,Breast myoepithelial cells
PCLAF,Breast cancer
PDCD1,T cells
PDCD1LG2,Adipocytes
PDE4A,
PDGFRA,Fibroblasts
PDGFRB,Smooth muscle cells
PDK4,Smooth muscle cells
PECAM1,Endothelial cells
PELI1,B cells
PGR,
PIGR,Breast glandular cells
PIM1,Fibroblasts
PLD4,Macrophages
POSTN,Fibroblasts
PPARG,Macrophages
PRDM1,T cells
PRF1,NK cells
PTGDS,
PTN,Breast myoepithelial cells
PTPRC,Immune cells
PTRHD1,Breast glandular cells
QARS,Breast glandular cells
RAB30,
RAMP2,Adipocytes
RAPGEF3,Adipocytes
RHOH,T cells
RORC,
RTKN2,T cells
RUNX1,Breast cancer
S100A14,Breast glandular cells
S100A4,
S100A8,Monocytes
SCD,Breast cancer
SCGB2A1,
SDC4,Breast glandular cells
SEC11C,
SEC24A,Macrophages
SELL,T cells
SERHL2,Breast glandular cells
SERPINA3,Breast glandular cells
SERPINB9,Macrophages
SFRP1,
SFRP4,Fibroblasts
SH3YL1,Breast glandular cells
SLAMF1,B cells
SLAMF7,B cells
SLC25A37,Breast glandular cells
SLC5A6,Breast glandular cells
SMAP2,T cells
SMS,Breast glandular cells
SNAI1,
SOX17,Endothelial cells
SOX18,Adipocytes
SPIB,Dendritic cells
SQLE,Breast glandular cells
SRPK1,Breast glandular cells
SSTR2,Smooth muscle cells
STC1,
SVIL,
TAC1,Fibroblasts
TACSTD2,Breast cancer
TCEAL7,
TCF4,
TCF7,T cells
TCIM,
TCL1A,B cells
TENT5C,T cells
TFAP2A,
THAP2,Smooth muscle cells
TIFA,
TIGIT,T cells
TIMP4,Adipocytes
TMEM147,Breast glandular cells
TNFRSF17,
TOMM7,Breast glandular cells
TOP2A,Breast cancer
TPD52,Breast glandular cells
TPSAB1,Mast cells
TRAC,T cells
TRAF4,
TRAPPC3,Breast glandular cells
TRIB1,B cells
TUBA4A,
TUBB2B,Breast myoepithelial cells
UCP1,Adipocytes
USP53,Breast glandular cells
VOPP1,B cells
VWF,Endothelial cells
WARS,Endothelial cells
ZEB1,
ZEB2,
ZNF562,Breast glandular cells
